# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: E:\My_design\ADDA_DE4_530_HSMA\DE4_HSMA_DVI.csv
# Generated on: Tue Jul 13 14:05:45 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
,Unknown,PIN_F30,1A,,,
,Unknown,PIN_K29,1A,B1A_N0,,
,Unknown,PIN_L29,1A,B1A_N0,,
,Unknown,PIN_C34,1A,B1A_N0,,
,Unknown,PIN_D34,1A,B1A_N0,,
,Unknown,PIN_J30,1A,B1A_N0,,
,Unknown,PIN_K30,1A,B1A_N0,,
,Unknown,PIN_C31,1A,B1A_N0,,
,Unknown,PIN_D31,1A,B1A_N0,,
,Unknown,PIN_M28,1A,B1A_N0,,
,Unknown,PIN_N28,1A,B1A_N0,,
,Unknown,PIN_C35,1A,B1A_N0,,
,Unknown,PIN_D35,1A,B1A_N0,,
,Unknown,PIN_H32,1A,B1A_N0,,
,Unknown,PIN_J32,1A,B1A_N0,,
,Unknown,PIN_B32,1A,B1A_N0,,
,Unknown,PIN_C32,1A,B1A_N0,,
,Unknown,PIN_M31,1A,B1A_N0,,
,Unknown,PIN_N31,1A,B1A_N0,,
,Unknown,PIN_C33,1A,B1A_N0,,
,Unknown,PIN_D33,1A,B1A_N0,,
,Unknown,PIN_G31,1A,B1A_N0,,
,Unknown,PIN_H31,1A,B1A_N0,,
,Unknown,PIN_E31,1A,B1A_N0,,
,Unknown,PIN_F31,1A,B1A_N0,,
,Unknown,PIN_K31,1A,B1A_N0,,
,Unknown,PIN_L31,1A,B1A_N0,,
,Unknown,PIN_E32,1A,B1A_N0,,
,Unknown,PIN_F32,1A,B1A_N0,,
,Unknown,PIN_R28,1A,B1A_N0,,
,Unknown,PIN_T28,1A,B1A_N0,,
,Unknown,PIN_E34,1A,B1A_N0,,
,Unknown,PIN_F34,1A,B1A_N0,,
,Unknown,PIN_R27,1A,B1A_N0,,
,Unknown,PIN_T27,1A,B1A_N0,,
,Unknown,PIN_F35,1A,B1A_N0,,
,Unknown,PIN_G35,1A,B1A_N0,,
,Unknown,PIN_J33,1A,B1A_N0,,
,Unknown,PIN_K32,1A,B1A_N0,,
,Unknown,PIN_F33,1A,B1A_N0,,
,Unknown,PIN_G33,1A,B1A_N0,,
,Unknown,PIN_H35,1A,B1A_N0,,
,Unknown,PIN_H34,1A,B1A_N0,,
,Unknown,PIN_L32,1C,B1C_N0,,
,Unknown,PIN_M32,1C,B1C_N0,,
,Unknown,PIN_J35,1C,B1C_N0,,
,Unknown,PIN_J34,1C,B1C_N0,,
,Unknown,PIN_P32,1C,B1C_N0,,
,Unknown,PIN_P31,1C,B1C_N0,,
,Unknown,PIN_K35,1C,B1C_N0,,
,Unknown,PIN_K34,1C,B1C_N0,,
,Unknown,PIN_T31,1C,B1C_N0,,
,Unknown,PIN_T30,1C,B1C_N0,,
,Unknown,PIN_N34,1C,B1C_N0,,
,Unknown,PIN_N33,1C,B1C_N0,,
,Unknown,PIN_R33,1C,B1C_N0,,
,Unknown,PIN_R32,1C,B1C_N0,,
,Unknown,PIN_M34,1C,B1C_N0,,
,Unknown,PIN_M33,1C,B1C_N0,,
,Unknown,PIN_L35,1C,B1C_N0,,
,Unknown,PIN_L34,1C,B1C_N0,,
,Unknown,PIN_R31,1C,B1C_N0,,
,Unknown,PIN_R30,1C,B1C_N0,,
,Unknown,PIN_V31,1C,B1C_N0,,
,Unknown,PIN_U31,1C,B1C_N0,,
,Unknown,PIN_W30,1C,B1C_N0,,
,Unknown,PIN_W29,1C,B1C_N0,,
,Unknown,PIN_N35,1C,B1C_N0,,
,Unknown,PIN_P34,1C,B1C_N0,,
,Unknown,PIN_V27,1C,B1C_N0,,
,Unknown,PIN_W26,1C,B1C_N0,,
,Unknown,PIN_R35,1C,B1C_N0,,
,Unknown,PIN_R34,1C,B1C_N0,,
,Unknown,PIN_V30,1C,B1C_N0,,
,Unknown,PIN_V29,1C,B1C_N0,,
,Unknown,PIN_U35,1C,B1C_N0,,
,Unknown,PIN_W33,1C,B1C_N0,,
,Unknown,PIN_W32,1C,B1C_N0,,
,Unknown,PIN_W35,1C,B1C_N0,,
,Unknown,PIN_W34,1C,B1C_N0,,
,Unknown,PIN_AA35,1C,B1C_N0,,
,Unknown,PIN_Y29,,,,
,Unknown,PIN_Y28,,,,
,Unknown,PIN_AA28,,,,
,Unknown,PIN_AA29,,,,
,Unknown,PIN_AC34,2C,B2C_N0,,
,Unknown,PIN_AF34,2C,B2C_N0,,
,Unknown,PIN_AE35,2C,B2C_N0,,
,Unknown,PIN_AL34,2C,B2C_N0,,
,Unknown,PIN_AL35,2C,B2C_N0,,
,Unknown,PIN_AH32,2C,B2C_N0,,
,Unknown,PIN_AH33,2C,B2C_N0,,
,Unknown,PIN_AN34,2C,B2C_N0,,
,Unknown,PIN_AN35,2C,B2C_N0,,
,Unknown,PIN_AF29,2C,B2C_N0,,
,Unknown,PIN_AG30,2C,B2C_N0,,
,Unknown,PIN_AE30,2C,B2C_N0,,
,Unknown,PIN_AE31,2C,B2C_N0,,
,Unknown,PIN_AH29,2A,B2A_N0,,
,Unknown,PIN_AH28,2A,B2A_N0,,
,Unknown,PIN_AW36,1A,,,
,Unknown,PIN_AW35,1A,,,
,Unknown,PIN_AV35,1A,,,
,Unknown,PIN_AP29,1A,,,
,Unknown,PIN_AN29,1A,,,
,Unknown,PIN_AM28,,,,
,Unknown,PIN_AD25,3A,B3A_N0,,
,Unknown,PIN_AE25,3A,B3A_N0,,
,Unknown,PIN_AE24,3A,B3A_N0,,
,Unknown,PIN_AK27,3A,B3A_N0,,
,Unknown,PIN_AK26,3A,B3A_N0,,
,Unknown,PIN_AJ26,3A,B3A_N0,,
,Unknown,PIN_AH26,3A,B3A_N0,,
,Unknown,PIN_AL27,3A,B3A_N0,,
,Unknown,PIN_AK25,3A,B3A_N0,,
,Unknown,PIN_AJ25,3A,B3A_N0,,
,Unknown,PIN_AW34,3A,B3A_N0,,
,Unknown,PIN_AW33,3A,B3A_N0,,
,Unknown,PIN_AW32,3A,B3A_N0,,
,Unknown,PIN_AV32,3A,B3A_N0,,
,Unknown,PIN_AV31,3A,B3A_N0,,
,Unknown,PIN_AW31,3A,B3A_N0,,
,Unknown,PIN_AW30,3A,B3A_N0,,
,Unknown,PIN_AV29,3A,B3A_N0,,
,Unknown,PIN_AW28,3A,B3A_N0,,
,Unknown,PIN_AW27,3A,B3A_N0,,
,Unknown,PIN_AW29,3A,B3A_N0,,
,Unknown,PIN_AV28,3A,B3A_N0,,
,Unknown,PIN_AN27,3A,B3A_N0,,
,Unknown,PIN_AP27,3A,B3A_N0,,
,Unknown,PIN_AN26,3A,B3A_N0,,
,Unknown,PIN_AM26,3A,B3A_N0,,
,Unknown,PIN_AP26,3A,B3A_N0,,
,Unknown,PIN_AL25,3A,B3A_N0,,
,Unknown,PIN_AR28,3A,B3A_N0,,
,Unknown,PIN_AP28,3A,B3A_N0,,
,Unknown,PIN_AT29,3A,B3A_N0,,
,Unknown,PIN_AU29,3A,B3A_N0,,
,Unknown,PIN_AU28,3A,B3A_N0,,
,Unknown,PIN_AT28,3A,B3A_N0,,
,Unknown,PIN_AG24,3A,B3A_N0,,
,Unknown,PIN_AH24,3A,B3A_N0,,
,Unknown,PIN_AU27,3A,B3A_N0,,
,Unknown,PIN_AT27,3A,B3A_N0,,
,Unknown,PIN_AM25,3B,B3B_N0,,
,Unknown,PIN_AN25,3B,B3B_N0,,
,Unknown,PIN_AP24,3B,B3B_N0,,
,Unknown,PIN_AN24,3B,B3B_N0,,
,Unknown,PIN_AP25,3B,B3B_N0,,
,Unknown,PIN_AR25,3B,B3B_N0,,
,Unknown,PIN_AU26,3B,B3B_N0,,
,Unknown,PIN_AT26,3B,B3B_N0,,
,Unknown,PIN_AT25,3B,B3B_N0,,
,Unknown,PIN_AU25,3B,B3B_N0,,
,Unknown,PIN_AW26,3B,B3B_N0,,
,Unknown,PIN_AV26,3B,B3B_N0,,
