# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.0 Build 262 08/18/2010 Service Pack 1 SJ Full Version
# File: D:/test_1/DE2_70_ADA/DE2_70_ADA.csv
# Generated on: Tue Sep 07 22:51:53 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved
oFLASH_A[20],Unknown,PIN_AJ28,7,,
oFLASH_A[21],Unknown,PIN_AE20,7,,
oFLASH_A[3],Unknown,PIN_AG23,7,,
oFLASH_A[4],Unknown,PIN_AF23,7,,
oFLASH_A[5],Unknown,PIN_AG22,7,,
oFLASH_A[6],Unknown,PIN_AH22,7,,
oFLASH_A[7],Unknown,PIN_AF22,7,,
oFLASH_A[8],Unknown,PIN_AH27,7,,
oFLASH_A[9],Unknown,PIN_AJ27,7,,
oFLASH_BYTE_N,Unknown,PIN_Y29,6,,
oFLASH_CE_N,Unknown,PIN_AG28,6,,
FLASH_DQ[0],Unknown,PIN_AF29,6,,
FLASH_DQ[1],Unknown,PIN_AE28,6,,
FLASH_DQ[10],Unknown,PIN_AD29,6,,
FLASH_DQ[11],Unknown,PIN_AC28,6,,
FLASH_DQ[12],Unknown,PIN_AC30,6,,
FLASH_DQ[13],Unknown,PIN_AB30,6,,
FLASH_DQ[14],Unknown,PIN_AA30,6,,
FLASH_DQ15_AM1,Unknown,PIN_AE24,7,,
FLASH_DQ[2],Unknown,PIN_AE30,6,,
FLASH_DQ[3],Unknown,PIN_AD30,6,,
FLASH_DQ[4],Unknown,PIN_AC29,6,,
FLASH_DQ[5],Unknown,PIN_AB29,6,,
FLASH_DQ[6],Unknown,PIN_AA29,6,,
FLASH_DQ[7],Unknown,PIN_Y28,6,,
FLASH_DQ[8],Unknown,PIN_AF30,6,,
FLASH_DQ[9],Unknown,PIN_AE29,6,,
oFLASH_OE_N,Unknown,PIN_AG29,6,,
oFLASH_RST_N,Unknown,PIN_AH28,6,,
iFLASH_RY_N,Unknown,PIN_AH30,6,,
oFLASH_WE_N,Unknown,PIN_AJ29,6,,
oFLASH_WP_N,Unknown,PIN_AH29,6,,
GPIO_CLKIN_N0,Unknown,PIN_T25,6,,
GPIO_CLKIN_N1,Unknown,PIN_AH14,8,,
GPIO_CLKIN_P0,Unknown,PIN_T24,6,,
GPIO_CLKIN_P1,Unknown,PIN_AG15,8,,
GPIO_CLKOUT_N0,Unknown,PIN_H23,5,,
GPIO_CLKOUT_N1,Unknown,PIN_AF27,6,,
GPIO_CLKOUT_P0,Unknown,PIN_G24,5,,
GPIO_CLKOUT_P1,Unknown,PIN_AF28,6,,
GPIO_0[0],Unknown,PIN_C30,5,,
GPIO_0[1],Unknown,PIN_C29,5,,
GPIO_0[10],Unknown,PIN_F29,5,,
GPIO_0[11],Unknown,PIN_G29,5,,
GPIO_0[12],Unknown,PIN_F30,5,,
