Signal Legend:

Key        Signal Name

0        = DA_A
1        = AD_B
2        = bitstream_out
3        = fifo_wr
4        = fifo_read_en
5        = bitstream_in
6        = fifo_empty
7        = fifo_full
8        = Demod_0
9        = Demod_1
10       = Valid_RX
11       = DA_B[19..33]
12       = AD_A[17..31]
13       = SW[6]
14       = SW[7]
15       = SW[8]
16       = SW[9]
17       = LEDR[3]
18       = LEDR[4]
19       = LEDR[5]
20       = LEDR[9]
21       = SW[3]
22       = SW[4]
23       = SW[5]
24       = GPIO_0[0]
25       = GPIO_0[16]
26       = GPIO_0[18]
27       = GPIO_1[0]
28       = GPIO_0[2]
29       = GPIO_0[32]
30       = GPIO_0[33]
31       = GPIO_0[34]
32       = GPIO_0[35]
33       = GPIO_1[16]
34       = GPIO_1[17]
35       = GPIO_1[18]
36       = GPIO_1[20]
37       = GPIO_1[2]
38       = GPIO_1[34]
39       = GPIO_1[35]
40       = KEY_N[0]
41       = KEY_N[1]
42       = KEY_N[2]
43       = KEY_N[3]

Data Table:

Signals-> 0     1     2 3 4 5 6 7 8 9 10 11    12    13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 

sample

52        3785  6583  1 1 0 0 0 0 0 0 0  3785  10238 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
53        4946  6577  1 1 1 0 0 0 0 0 0  4946  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
54        5664  6527  1 0 1 0 0 0 0 0 0  5664  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
55        4310  6621  1 0 0 0 0 0 0 0 0  4310  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
56        2218  6677  1 1 0 0 0 0 0 0 0  2218  7166  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
57        -1    6699  0 1 1 0 0 0 0 0 0  16383 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
58        -2221 6563  0 0 1 0 0 0 0 0 0  14163 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
59        -4735 6653  0 0 0 0 0 0 0 0 0  11649 2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
60        -5667 7074  1 1 0 0 0 0 0 0 0  10717 2046  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
61        -4948 7370  1 1 1 0 0 0 0 0 0  11436 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
